w_B,w_RS,w_DeltaQ0,w_Uzzi,w_RTD,w_BurtIP,w_PDE,cv_spearman,cv_spearman_delta_vs_equal
0.07081228,0.18507376,0.19076883,0.09870008,0.11570966,0.33336122,0.00557418,0.15267371527402165,-0.03659115408184513
0.01941626,0.38499653,0.11262461,0.05577604,0.108999,0.23283016,0.08535739,0.1841453673297201,-0.005119502026146694
0.23476401,0.06159474,0.06422549,0.37792241,0.06029184,0.07609984,0.12510167,0.13579212835237106,-0.05347274100349572
0.10063444,0.09594555,0.36182768,0.00555902,0.13792426,0.05678276,0.2413263,0.1945595132315684,0.00529464387570161
0.14187056,0.04022199,0.09239803,0.0153335,0.40273348,0.20383179,0.10361064,0.20149711551376853,0.01223224615790175
0.20535343,0.05482978,0.11818625,0.09002589,0.15047562,0.36427301,0.01685601,0.11332383098915007,-0.07594103836671671
0.16224125,0.08862863,0.12839718,0.28207356,0.02157431,0.12075666,0.19632842,0.1597697092527241,-0.02949516010314268
0.05219075,0.03682467,0.12638596,0.00609812,0.29936522,0.08843155,0.39070373,0.19574886061534633,0.0064839912594795435
0.08849072,0.00417847,0.15675222,0.13273331,0.48045591,0.08922732,0.04816206,0.2274759997086675,0.038211130352800715
0.25949255,0.24445214,0.01388206,0.01109647,0.08241047,0.35122827,0.03743803,0.11342467883320168,-0.07584019052266511
0.0064477,0.16992179,0.24588775,0.04206802,0.49277442,0.00517347,0.03772685,0.1950964340611853,0.005831564705318509
0.11881869,0.17033224,0.55970701,0.02295289,0.03064413,0.06883665,0.02870839,0.13587815450569615,-0.05338671485017063
0.16506259,0.00112253,0.2352816,0.18989738,0.10938656,0.05820157,0.24104778,0.19004063985327313,0.0007757704974063473
0.02344129,0.16859251,0.12068299,0.09540599,0.22560132,0.03959626,0.32667963,0.17479087969415386,-0.014473989661712927
0.06582345,0.21650823,0.19894935,0.00340887,0.17220549,0.11295123,0.23015337,0.20176852916088428,0.012503659805017497
0.12395515,0.38356148,0.01759262,0.14311919,0.05965684,0.12616794,0.14594678,0.16211787573560082,-0.027146993620265958
0.14710952,0.00648788,0.44169404,0.04725306,0.03566526,0.15762672,0.16416351,0.14598410425908004,-0.043280765096786744
0.07504453,0.24394881,0.16652936,0.30655404,0.02570743,0.11354426,0.06867157,0.1776682280437103,-0.011596641312156486
0.52353257,0.00786557,0.2568652,0.03160773,0.06368614,0.08904852,0.02739428,0.1030041692058864,-0.08626070014998038
0.08172516,0.04267964,0.34147295,0.04482069,0.20040587,0.13533952,0.15355616,0.189270473511421,5.6041555542285515e-06
0.18455481,0.0210799,0.57280594,0.05724474,0.06024364,0.01546822,0.08860275,0.13955738880193935,-0.04970748055392743
0.2224159,0.01842633,0.24880736,0.07207329,0.16398286,0.19293329,0.08136097,0.15354860750174912,-0.035716261854117665
0.02686665,0.39078217,0.03538854,0.05129308,0.47038361,0.00341929,0.02186666,0.16037326965868523,-0.028891599697181553
0.04399713,0.25310314,0.02244352,0.04750361,0.28817422,0.13139302,0.21338535,0.1771510418738843,-0.012113827481982475
0.04965717,0.01236646,0.05982525,0.54578001,0.07812979,0.16441953,0.08982179,0.12445258425210354,-0.06481228510376325
0.11225599,0.07913723,0.26399315,0.09359631,0.22735334,0.02929995,0.19436404,0.213794886456699,0.02453001710083222
0.01053644,0.2533518,0.26770533,0.11124182,0.08572051,0.00178633,0.26965777,0.14328632387549606,-0.045978545480370725
0.29458599,0.2116471,0.03016593,0.11203766,0.00305153,0.10848199,0.2400298,0.14784393042129004,-0.04142093893457674
0.08324594,0.27961615,0.04099509,0.1879346,0.24603214,0.03605499,0.12612109,0.18008130330950295,-0.009183566046363834
0.07739536,0.58567147,0.03299432,0.22410924,0.01927329,0.02412676,0.03642954,0.13286985769964504,-0.05639501165622174
0.21688427,0.00499688,0.11137242,0.03006019,0.3460709,0.11146227,0.17915308,0.2041423961278176,0.01487752677195081
0.05177747,0.00380304,0.14383161,0.13724633,0.47036193,0.09384629,0.09913333,0.22181348195931852,0.03254861260345174
0.11681068,0.02061433,0.10410383,0.24842748,0.06935513,0.31157292,0.12911562,0.12169700353470735,-0.06756786582115944
0.20738166,0.05310713,0.02887623,0.28735842,0.18320011,0.19761755,0.04245889,0.13328679604341362,-0.055978073312453164
0.08877706,0.08477331,0.32975576,0.0800943,0.03793798,0.1703154,0.20834619,0.16786906991586933,-0.02139579943999745
0.1968209,0.01734369,0.14968991,0.20068948,0.16031879,0.05279274,0.22234449,0.19635028467078666,0.0070854153149198795
