horizon,model_id,model_label,prediction_decile,n,top_count,observed_top_share,baseline_top_share,enrichment_over_baseline,ci_low,ci_high,bootstrap_iterations,bootstrap_unit
8,expanded,Expanded 153,1.0,22031,136,0.006173119694975262,0.1000077169950929,0.06172643352390656,0.0029048483325896123,0.008469946995844684,2000,publication_year
8,expanded,Expanded 153,2.0,22029,192,0.00871578373961596,0.1000077169950929,0.08715111194912709,0.005062627309778238,0.011220419252412205,2000,publication_year
8,expanded,Expanded 153,3.0,22029,253,0.011484860865223115,0.1000077169950929,0.11483974647463101,0.006702560525174447,0.014529610435093803,2000,publication_year
8,expanded,Expanded 153,4.0,22029,476,0.021607880521131235,0.1000077169950929,0.2160621317072109,0.01622418244285422,0.025437817969432373,2000,publication_year
8,expanded,Expanded 153,5.0,22029,801,0.03636116028871034,0.1000077169950929,0.3635835451627646,0.0291062008311537,0.04124096344185753,2000,publication_year
8,expanded,Expanded 153,6.0,22029,1216,0.05519996368423442,0.1000077169950929,0.5519570423444715,0.04551322023542123,0.06259270628208434,2000,publication_year
8,expanded,Expanded 153,7.0,22028,1734,0.07871799527873616,0.1000077169950929,0.7871192108364861,0.06947885161080088,0.08515599680326742,2000,publication_year
8,expanded,Expanded 153,8.0,22030,2869,0.13023150249659554,0.1000077169950929,1.3022145331343344,0.12422257849859936,0.1383774198606074,2000,publication_year
8,expanded,Expanded 153,9.0,22028,4797,0.2177682948974033,0.1000077169950929,2.1775149102552613,0.20758097063074693,0.23376920749425434,2000,publication_year
8,expanded,Expanded 153,10.0,22031,9557,0.4337978303299896,0.1000077169950929,4.33764356755864,0.40783571090648213,0.4726496978767277,2000,publication_year
8,broad_t0,Broad T0 219,1.0,22031,136,0.006173119694975262,0.1000077169950929,0.06172643352390656,0.0027478980310000787,0.008553499216322286,2000,publication_year
8,broad_t0,Broad T0 219,2.0,22029,187,0.008488810204730128,0.1000077169950929,0.08488155174211857,0.004736915093791838,0.011223857275863695,2000,publication_year
8,broad_t0,Broad T0 219,3.0,22029,283,0.012846702074538108,0.1000077169950929,0.12845710771668212,0.007266625654871874,0.016468870740452682,2000,publication_year
8,broad_t0,Broad T0 219,4.0,22029,440,0.019973671069953243,0.1000077169950929,0.19972129821674958,0.01580631672627589,0.022872660559798037,2000,publication_year
8,broad_t0,Broad T0 219,5.0,22029,782,0.03549866085614417,0.1000077169950929,0.3549592163761322,0.02865930214425862,0.04023858637724178,2000,publication_year
8,broad_t0,Broad T0 219,6.0,22029,1209,0.05488220073539425,0.1000077169950929,0.5487796580546597,0.044680609713330155,0.06265233751066974,2000,publication_year
8,broad_t0,Broad T0 219,7.0,22028,1732,0.07862720174323588,0.1000077169950929,0.7862113455414036,0.07019990859134959,0.0846898997713996,2000,publication_year
8,broad_t0,Broad T0 219,8.0,22030,2894,0.13136631865637766,0.1000077169950929,1.3135618190626575,0.12472000368223542,0.13827067570677545,2000,publication_year
8,broad_t0,Broad T0 219,9.0,22028,4826,0.21908480116215726,0.1000077169950929,2.190678957033957,0.207834112239015,0.23591873925472565,2000,publication_year
8,broad_t0,Broad T0 219,10.0,22031,9542,0.4331169715401026,0.1000077169950929,4.330835505037621,0.4046518702184815,0.47636335593463075,2000,publication_year
